nodes,techs,parameters,vintagesteps,values
NORD,import_electricity,flow_cap_new_min,2025,2385000
NORD,import_electricity,flow_cap_new_min,2030,1350000
NORD,import_electricity,flow_cap_new_min,2035,0
NORD,import_electricity,flow_cap_new_min,2040,0
NORD,import_electricity,flow_cap_new_min,2045,1000000
NORD,import_electricity,flow_cap_new_min,2050,0
CSUD,import_electricity,flow_cap_new_min,2025,600000
CSUD,import_electricity,flow_cap_new_min,2030,600000
CSUD,import_electricity,flow_cap_new_min,2035,0
CSUD,import_electricity,flow_cap_new_min,2040,0
CSUD,import_electricity,flow_cap_new_min,2045,0
CSUD,import_electricity,flow_cap_new_min,2050,0 
SUD,import_electricity,flow_cap_new_min,2025,0
SUD,import_electricity,flow_cap_new_min,2030,0
SUD,import_electricity,flow_cap_new_min,2035,500000
SUD,import_electricity,flow_cap_new_min,2040,0
SUD,import_electricity,flow_cap_new_min,2045,0
SUD,import_electricity,flow_cap_new_min,2050,0
SICI,import_electricity,flow_cap_new_min,2025,0
SICI,import_electricity,flow_cap_new_min,2030,800000
SICI,import_electricity,flow_cap_new_min,2035,0
SICI,import_electricity,flow_cap_new_min,2040,0
SICI,import_electricity,flow_cap_new_min,2045,0
SICI,import_electricity,flow_cap_new_min,2050,0
CNOR,import_electricity,flow_cap_new_min,2025,0
CNOR,import_electricity,flow_cap_new_min,2030,2000000
CNOR,import_electricity,flow_cap_new_min,2035,0
CNOR,import_electricity,flow_cap_new_min,2040,0
CNOR,import_electricity,flow_cap_new_min,2045,0
CNOR,import_electricity,flow_cap_new_min,2050,0
