,NORD,CNOR,CSUD,SUD,SARD,SICI
timesteps,,,,,,
2015-01-01T00:00:00,23444610.84,4117947.498,7478958.999,3864395.811,1395914.544,2893791.871
2015-01-01T01:00:00,22378098.96,3919148.733,6996987.38,3559224.747,1330954.178,2715750.427
2015-01-01T02:00:00,21678220.28,3770319.048,6679592.406,3415550.305,1297721.038,2576267.776
2015-01-01T03:00:00,21970347,3820143.135,6643953.265,3419141.044,1302110.425,2595391.101
2015-01-01T04:00:00,23638291.62,4061174.154,6998108.566,3610891.501,1364616.748,2710495.027
2015-01-01T05:00:00,26455754.32,4488490.983,7661286.187,4054420.916,1490923.2,2934572.605
2015-01-01T06:00:00,28783820.81,4843640.433,8232765.676,4260421.397,1617256.689,3119793.314
2015-01-01T07:00:00,28915633.89,4951960.49,8552762.91,4513887.329,1672553.553,3328320.727
2015-01-01T08:00:00,28614580.4,4960755.342,8924880.78,4835839.294,1711759.176,3551235.491
2015-01-01T09:00:00,29371901.65,5122061.405,9348954.333,4975057.007,1771365.302,3756875.278
2015-01-01T10:00:00,30267397.11,5151317.872,9793307.363,5111627.275,1824883.42,3938245.713
2015-01-01T11:00:00,30552481.51,5198044.947,10025127.04,5322417.851,1843798.68,3760702.248
2015-01-01T12:00:00,30065283.41,5026926.064,9786062.385,5070778.528,1759096.196,3675301.23
2015-01-01T13:00:00,30240884.73,5108771.773,9353042.605,4888077.062,1705458.649,3737509.231
2015-01-01T14:00:00,31149584.52,5399909.353,9496312.907,4932889.276,1760011.013,3730444.541
2015-01-01T15:00:00,33503953.85,5882594.406,10007272.28,5138745.158,1852850.074,3829799.055
2015-01-01T16:00:00,37354477.16,6553649.573,11145978.06,5595199.249,2019834.196,4217681.476
2015-01-01T17:00:00,39129606.82,6895270.242,11602171.94,5800836.609,2138869.327,4393335.345
2015-01-01T18:00:00,38512635.86,6848687.498,11480373.33,5798810.062,2122489.784,4375881.308
2015-01-01T19:00:00,36591589,6524872.045,11101602.55,5618685.934,2065878.982,4284263.27
2015-01-01T20:00:00,33859783.52,6035101.336,10430463.83,5396747.99,1934023.9,4037243.623
2015-01-01T21:00:00,30595933.33,5441062.753,9501306.957,4879270.081,1761068.584,3714524.941
2015-01-01T22:00:00,18678027.81,3385831.679,6198396.625,3178346.406,1183033.296,2531255.506
2015-01-01T23:00:00,18342272.92,3184491.868,5811234.313,2910521.277,1096772.756,2324418.316
2015-01-02T00:00:00,17321383.1,2970425.072,5382319.632,2702899.427,1026101.006,2134816.992
2015-01-02T01:00:00,16615072.15,2818580.366,5072275.553,2575200.343,991871.6941,1993710.299
2015-01-02T02:00:00,16103038.13,2729478.063,4864969.369,2516969.646,958545.0355,1899910.55
2015-01-02T03:00:00,15561610.95,2626911.113,4692045.841,2376523.489,924822.911,1821028.167
2015-01-02T04:00:00,15318312.85,2544979.074,4640665.972,2347633.02,905700.2857,1761193.166
2015-01-02T05:00:00,16570527.42,2703441.962,4950288.967,2484888.904,939961.5838,1812784.935
2015-01-02T06:00:00,18391457.87,2993730.589,5390851.343,2598350.214,1030182.779,1954049.144
2015-01-02T07:00:00,20084696.77,3346834.629,6204473.822,3240079.213,1150261.938,2258196.078
2015-01-02T08:00:00,21748467.75,3653575.209,7038200.995,3629383.875,1232428.98,2524314.295
2015-01-02T09:00:00,22313724.38,3819090.322,7364614.654,3799879.48,1295970.67,2643137.895
2015-01-02T10:00:00,22861969.42,3815722.923,7413452.444,3789961.266,1297801.41,2640068.364
2015-01-02T11:00:00,22418243.64,3711952.385,7416950.635,3768470.006,1298890.85,2638745.054
2015-01-02T12:00:00,21440159.56,3536071.911,7247098.843,3653515.158,1255511.396,2625521.248
2015-01-02T13:00:00,21786486.24,3620859.349,7213415.991,3648928.57,1215592.573,2704883.016
2015-01-02T14:00:00,22695940.04,3942352.357,7326892.885,3617934.181,1230359.941,2815578.19
2015-01-02T15:00:00,24205223.87,4247732.806,7628897.256,3836777.635,1290194.712,2951991.591
2015-01-02T16:00:00,26597344.48,4752934.258,8469845.314,4279760.498,1420028.294,3278998.161
2015-01-02T17:00:00,27064962.89,4844518.967,8645792.41,4354190.008,1492275.531,3390352.616
2015-01-02T18:00:00,26547517.45,4773516.341,8655357.086,4381807.434,1510340.814,3435206.894
2015-01-02T19:00:00,25136065.58,4390885.242,8226106.453,4333604.202,1478196.487,3349767.668
2015-01-02T20:00:00,23995442.15,4171434.472,7793011.002,4056011.088,1407929.73,3194409.136
2015-01-02T21:00:00,22282007.25,3883027.297,7317671.615,3734582.298,1339485.208,2987893.247
2015-01-02T22:00:00,22665173.62,3970606.091,7146388.489,3734569.998,1338493.29,2893142.477
2015-01-02T23:00:00,20102348.71,3483823.927,6226898.582,3227059.131,1182032.749,2509029.226
2015-01-03T00:00:00,18643834.19,3230631.781,5680270.567,2958129.625,1101118.847,2282013.756
2015-01-03T01:00:00,17860476.67,3099789.429,5357729.36,2797619.566,1058609.198,2137326.705
2015-01-03T02:00:00,17592690.64,3058382.728,5196948.165,2724785.854,1040246.928,2060436.29
2015-01-03T03:00:00,17557073.24,3018824.838,5128486.184,2719951.913,1032156.183,2049967.554
2015-01-03T04:00:00,18112103.88,3086143.358,5311302.527,2765397.945,1052964.688,2110571.118
2015-01-03T05:00:00,20126706.72,3410754.642,5888963.224,3034686.813,1141484.293,2278753.367
2015-01-03T06:00:00,22829081.68,3875015.669,6564716.533,3350522.5,1280674.402,2514236.546
2015-01-03T07:00:00,24284622.1,4203274.881,7186633.234,3812570.965,1382012.141,2830199.671
2015-01-03T08:00:00,25403786.08,4462343.482,7735528.231,4115111.188,1434791.479,3094970.449
2015-01-03T09:00:00,25867074.34,4558929.507,7738933.277,4236832.899,1444584.169,3065330.618
2015-01-03T10:00:00,25534787.26,4554426.55,7576117.837,4159856.5,1450789.859,2986475.567
2015-01-03T11:00:00,24987823.3,4501500.013,7785990.139,4110799.765,1426992.468,2927316.323
2015-01-03T12:00:00,24467835.74,4315984.315,7714976.51,4153083.213,1397806.499,2934703.727
2015-01-03T13:00:00,24214562.74,4273950.633,7785860.874,4145770.92,1430747.926,2952986.838
2015-01-03T14:00:00,25062596.14,4517597.457,8129397.088,4215410.891,1460302.479,3123732.967
2015-01-03T15:00:00,26860422.42,4955183.32,8710839.807,4586949.298,1500426.862,3309150.296
2015-01-03T16:00:00,29954273.93,5419749.053,9514308.558,5239066.036,1631627.707,3700181.113
2015-01-03T17:00:00,30851199.28,5580426.291,9654910.451,5381816.1,1697528.963,3796608.657
2015-01-03T18:00:00,30143022.63,5540077.612,9589231.658,5353934.029,1689298.126,3799305.096
2015-01-03T19:00:00,28260163.76,5169519.165,9051841.446,5216816.997,1638603.353,3643970.865
2015-01-03T20:00:00,26369095.45,4855871.334,8454599.745,4827756.191,1532693.448,3387401.92
2015-01-03T21:00:00,24205441.3,4450549.161,7807406.331,4414960.109,1425875.052,3150022.419
2015-01-03T22:00:00,20859539.52,3810535.636,6813372.673,3932211.439,1261381.693,2788313.366
2015-01-03T23:00:00,18719145.56,3381889.411,6059832.582,3442694.623,1141141.317,2484077.216
2015-01-04T00:00:00,17164231.67,3107531.298,5513541.516,3193565.762,1060775.787,2276056.557
2015-01-04T01:00:00,16444317.1,2966085.944,5180120.746,3025191.306,1013658.692,2138182.179
2015-01-04T02:00:00,16239096.23,2895973.17,5018119.917,2945222.302,994941.0121,2042626.206
2015-01-04T03:00:00,16162118.32,2850918.934,4926580.831,2889546.22,999867.7991,2021123.547
